policy_id,policy_start
gay_employment_discrim_genderi,1982
lemon,1982
mprisdm,1982
r_d_tax_credit,1982
realestatecooperative,1982
southeastinterstatelow_levelradioactivewastecompact,1982
vicrtsamd,1982
victimrights,1982
w_gayrights_employment_discrimi,1982
commoninterestownershipact1982,1983
conflictsoflaws_limitationsact,1983
drugs_boehmke_zeroto,1983
dui,1983
dui08,1983
dwireform,1983
eminentscholar,1983
midwestinterstatelow_levelradioactivewastecompact,1983
modelrealestatetime_shareact,1983
netmeter,1983
notarialacts1982,1983
regreq,1983
renewenergy,1983
transboundarypollutionreciprocalaccessact,1983
w_abortion_parental_notice_1983,1983
zerotol,1983
zerotoleranceapis,1983
compactonadoptionandmedicalassistance,1984
damagereduce,1984
interstatecompactonadoptionandmedicalassistance,1984
maritalpropertyact,1984
primseat,1984
regulation_mandatory_seatbelt,1984
southwesternlow_levelradioactivewastedisposalcompact,1984
transferstominorsact,1984
viatesting,1984
zerotolerancelaw,1984
allpass_seatbelt,1985
appalachianstateslow_levelradioactivewastecompact,1985
cent,1985
eminentdomaincode,1985
extraditionandrenditionactmodel,1985
fraudulenttransferact1984,1985
frontpass_seatbelt,1985
fundslifehea,1985
governance_reform,1985
health,1985
insanitydefenseandpost_trialdisposition,1985
premaritalagreementact,1985
primaryenforce_all,1985
regulation_bicycle_helmet,1985
rightsoftheterminallyillact1985,1985
simultaneousdeathact1940,1985
apology,1986
periodicpaymentofjudgmentsact,1986
prepaid,1986
prepaytut,1986
primaryenforce_minor,1986
certificationofquestionsoflaw1995,1987
comsrvdy,1987
dormantmineralinterestsactmodel,1987
drugtest,1987
guardianshipandprotectiveproceedingsact1997,1987
health_careinformationact,1987
infertility,1987
schoolchoi,1987
statutoryruleagainstperpetuities,1987
syringe,1987
tu_decent,1987
uccarticle8investmentsecurities,1987
anatomicalgiftact1987,1988
collegesavings,1988
custodialtrustact,1988
dev_s1,1988
dev_s10,1988
earned_income_taxcredi,1988
informationpracticescode,1988
mendeapen,1988
multistatelotteryagreement,1988
savingplan,1988
securitiesact1988,1988
uccarticle2aleases19871990,1988
universalhealthcare,1988
advertban,1989
bikehelmet,1989
bradycamp,1989
ccb,1989
dev_s7,1989
foreignmoneyclaimsact,1989
gayhate,1989
guncontrol_assaultweapon_ba,1989
hmomod2,1989
painmanagement,1989
statusofchildrenofassistedconceptionact,1989
w_gayright_publi_accom_genderi,1989
w_gayrights_public_accomodation,1989
wildlifeviolatorcompact,1989
antistalk,1990
broadcom,1990
corporateeff_yearadopted,1990
corporaterenew_yearadopted,1990
higissue,1990
higrenew,1990
hiport,1990
hiprecon,1990
indgaming,1990
infanthear,1990
interstatecompactonindustrialized/modularbuildings,1990
meganslaw,1990
midwesternhighereducationcompact,1990
netmeter_yearadopted,1990
nonprobatetransfersondeathact,1990
personaltax_yearadopted,1990
personaltaxeff_yearadopted,1990
pubemployees,1990
stalking,1990
termlim,1990
todsecurityregistrationact,1990
uccarticle4afundstransfers1989,1990
uccarticle6bulksales1989,1990
uccarticle6repeal,1990
uccarticle6revise,1990
bldstds_yearadopted,1991
chartersch,1991
colcanscr,1991
gagrule,1991
intestacywillsanddonativetransfersact,1991
neartotalban,1991
prudentinvestoract,1991
renewport,1991
sexreginfo,1991
statutoryformpowerofattorneyact,1991
statutorywillact1984,1991
supp_research,1991
uccarticle3negotiableinstruments1990,1991
abortion_consent_1992_201,1992
candlim,1992
corporlimits,1992
famcap,1992
famlim,1992
filmtaxcredit,1992
indlimit,1992
kidhelmet,1992
simultaneousdeathact,1992
unionlimits,1992
breastfeed,1993
gilaw,1993
idas,1993
interstatefamilysupportact19921996,1993
manaccess,1993
meritaid,1993
meritstateadmin,1993
msas,1993
multiple_personaccounts,1993
nationalguardmutualassistancecounter_drugactivitiescompact,1993
offwmh,1993
partnershipact1997lastamended2013,1993
pubaccess,1993
pubbrefeed,1993
regulation_rfr,1993
strikes,1993
threestrikes,1993
timelim,1993
unincorporatednonprofitassociationact19921996,1993
writreq,1993
gaymarban,1994
indorgris,1994
manclin,1994
sdce,1994
standground,1994
anyactnot,1995
commoninterestownershipact1994,1995
correctionorclarificationofdefamation,1995
discrenot,1995
drugs_smoking_ban_restaurant,1995
drugs_smoking_ban_workplace,1995
emergencymanagementassistancecompact,1995
health_caredecisionsact,1995
ide,1995
lien,1995
mandnot,1995
medianot,1995
neighnot,1995
paperterror,1995
smokeban,1995
uccarticle8investmentsecurities1994,1995
unclaimedpropertyact,1995
universalprek,1995
victimsofcrimeactmodel,1995
abortion_partial_birt,1996
adoptionact1994,1996
banfaninc,1996
continsurance,1996
contrains,1996
dev_s2,1996
dev_s8,1996
dev_s9,1996
drugs_medical_marijuan,1996
elecdereg,1996
environment_publicbenefit_fund,1996
gdl,1996
identitytheft,1996
idtheft,1996
methpre,1996
optinnot,1996
pubbenefits_yearadopted,1996
restruct,1996
uccarticle5lettersofcredit1995,1996
ultrasound,1996
dev_s5,1997
dnaforexon,1997
emcont_avail,1997
interreg,1997
limitedliabilitycompany19951996,1997
plannedcommunityact,1997
postdna,1997
pre20wk,1997
principalandincomeact2000,1997
rps_yearadopted,1997
southerndairycompact,1997
civinjaut,1998
contr_eq,1998
cyberstalk,1998
harass,1998
hostliability,1998
kinship,1998
nurselicensurecompact,1998
regulation_physician_suicid,1998
stalkdef,1998
sundayban,1998
terrorfund,1998
amber,1999
antibully,1999
antishack,1999
autism,1999
ccreceipt,1999
electronictransactionsact,1999
gayrights_hatecrime,1999
giexorder,1999
naticurric,1999
nationalcrimepreventionandprivacycompact,1999
racialpro,1999
wmd,1999
computerinformationtransactionsact,2000
disclaimerofpropertyinterestsact,2000
dnafelon,2000
environment_electronic_wast,2000
gayrights_civilunion,2000
gayrights_marriag,2000
interstatecompactonlicensureofparticipantsinhorseracingwithpari_mutuelwagering,2000
licenseplate,2000
midwestinterstatepassengerrailcompact,2000
arbitrationact2000,2001
athleteagentsact,2001
credfreez,2001
immigration_instate_tuition_ill,2001
inst_tu_und,2001
interstateenforcementofdomesticviolenceprotectionordersact,2001
medicalrest,2001
moneyservicesact,2001
parentageact,2001
uccarticle1generalprovisions2001,2001
undoctuit,2001
consumerleasesact,2002
interstatefamilysupportact2001,2002
trustcode,2002
unswornforeigndeclarationsact2008,2002
childwitnesstestimonybyalternativemethodsact,2003
environment_ca_car_emissions_st,2003
ewaste,2003
humantraffic,2003
interstateinsuranceproductregulationcompact,2003
