city	state	permalink	created_at	lat	long	adoption_case
Torrance	CA	zbaxvfu-oerjvat	8/18/14 22:55	33.846708	-118.309397	1
San Mateo	Ca	znaqnyn-ybhatr	8/19/14 21:04	37.544889	-122.304729	1
Fall City	WA	snyy-pvgl-ovfgeb	8/19/14 21:51	47.570816	-121.887347	1
Yarmouth	ME	ovfgeb-233	8/20/14 15:21	43.800621	-70.186723	1
Golden	CO	zbhagnva-gbnq-oerjvat	8/20/14 19:43	39.758098	-105.224252	1
Waltham	MA	erq-oyeq	8/20/14 20:16	42.370018	-71.237356	1
Portland	OR	aveinan-pnsr	8/20/14 20:24	45.517042	-122.660418	1
Chicago	IL	znpuh-cvppuh	8/20/14 20:36	41.952352	-87.669189	1
Cornelius	NC	gur-jvar-pryyne	8/20/14 20:52	35.481706	-80.882542	1
leavenworth	Wa	qre-uvagreubs-orre-tneqra	8/21/14 0:55	47.594456	-120.660054	1
Canton	MA	nzore-ebnq-pnsr	8/21/14 2:00	42.154026	-71.14569	1
Bend	Oregon	wbbym	8/21/14 20:46	44.05887	-121.31356	1
Berkeley	CA	trpxb-trpxb	8/21/14 23:01	37.870743	-122.270421	1
Quincy	MA	znttl-f-ybhatr	8/22/14 15:08	42.246321	-70.976653	1
Brooklyn	NY	rfzr	8/22/14 18:27	40.733196	-73.954973	1
New York	NY	gur-cynpr	8/22/14 19:20	40.737262	-74.003965	1
Knoxville	TN	fzbxrq-unjtf	8/22/14 19:26	35.935917	-84.003411	1
Fort Lauderdale	FL	znevan-84-fcbegf-one-tevyy	8/25/14 19:54	26.085916	-80.173402	1
Scottsdale	Az	onq-jngre-oerjvat	8/25/14 22:43	33.497244	-111.924642	1
Los Angeles	CA	zrna-terraf	8/26/14 18:00	34.084101	-118.361167	1
Greenfield	Ohio	guerr-fcbbaf-qvare	8/26/14 19:16	39.351453	-83.381961	1
Chicago	il	puvpntb-tevaq	8/26/14 20:04	41.977961	-87.660213	1
Leesburg	Virginia	orre-wbvag-oerjrel-yrrfohet	8/26/14 21:29	39.112629	-77.554014	1
Omaha	NE	fpevcgbja-oerjvat-pbzcnal	8/26/14 22:13	41.257968	-95.97287	1
Los Angeles	CA	p2betnavpf	8/26/14 22:34	34.101018	-118.32931	1
San Francisco	CA	ynml-orne	8/26/14 22:51	37.760485	-122.419762	1
Battle Creek	MI	ubtmvyyn-ood-cvg	8/27/14 17:40	42.297606	-85.216062	1
Sioux Falls	Sd	z-o-unfxrgg-qryvpngrffra	8/27/14 18:23	43.543738	-96.726562	1
Long Beach 	CA	wbivab-f-cvmmn	8/28/14 19:49	33.860084	-118.180952	1
Detroit	MI	hsb-snpgbel	8/28/14 20:06	42.332189	-83.06683	1
Chicago	IL	yhyn-pnsr	8/28/14 20:44	41.926944	-87.707261	1
San Jose	CA	grfg-erfgnhenag	8/28/14 21:24	37.371051	-121.923649	1
Chicago	IN	vaql-pnsr	8/29/14 16:30	41.611897	-87.481099	1
Prairieville	LA	gur-vgnyvna-objy	8/29/14 19:21	30.327708	-90.980927	1
Middleburg Heights	OH	fgbaroebbx-pyho-ubhfr	8/29/14 20:38	41.35819	-81.81513	1
Richmond	VA	blfgre-f-crney	8/29/14 20:52	37.569041	-77.474449	1
Green Bay	WI	uvagreynaq-oerjrel-terra-onl	8/29/14 21:05	44.518933	-88.019631	1
New York	NY	xvat-orr	8/29/14 21:13	40.727519	-73.983842	1
Gilbert	AZ	yvfn-f-ehz-pnxr	8/29/14 21:40	33.346044	-111.830543	1
Milwaukee	WI	cyrnfnag-xnsr	8/29/14 22:28	43.050723	-87.904536	1
Anaheim	CA	sn-fnv-gunv-phvfvar	8/30/14 0:08	33.832715	-117.9242	1
Astoria	New York	fhtne-sernx	9/2/14 16:03	40.764514	-73.916912	1
Oak Bluffs	MA	pbbc-qrivyyr	9/2/14 17:18	41.456783	-70.557816	1
Norwalk	CT	wnk-pb	9/2/14 17:42	41.100508	-73.419541	1
Los Angeles	CA	fgngvba-one-tevyy	9/2/14 18:09	34.073121	-118.375979	1
Ridgewood	NY	ohaxre-ivrganzrfr	9/2/14 19:43	40.713985	-73.921321	1
Wheaton	IL	yn-onzon-jurngba	9/2/14 20:03	41.888189	-88.10072	1
West New York	NJ	qhypr-qr-yrpur-onxrel	9/2/14 21:53	40.79371	-74.012342	1
Fresh Meadows	NY	zvna	9/2/14 22:11	40.739592	-73.789721	1
Healdsburg	California	nqry-f-erfgnhenag	9/2/14 23:33	38.626249	-122.877222	1
Greenville	SC	trarivrir-f	9/2/14 23:52	34.847595	-82.401711	1
Los Angeles	CA	yvggyr-qbz-f	9/3/14 0:00	34.110932	-118.287161	1
Long Island City	New York	oyiq-jvar-one	9/3/14 14:37	40.745918	-73.957187	1
Brooklyn	NY	gur-snez-ba-nqqreyrl	9/3/14 15:14	40.639554	-73.967487	1
Farmington 	MI	snezvatgba-oerjvat-pbzcnal	9/3/14 19:32	42.464985	-83.37609	1
Bradenton	FL	fzvggl-f-cho-tevyyr	9/3/14 20:35	27.496187	-82.599383	1
