policy_id,adopted_year,state,state_name,long,lat,adoption_case,state_num
acctlic,1909,MN,Minnesota,-93.1027,44.9446,1,8
acctlic,1909,MO,Missouri,-92.1941,38.5698,1,23
acctlic,1909,MT,Montana,-112.0205,46.5911,1,14
acctlic,1909,NE,Nebraska,-97.548,41.1786,1,28
acctlic,1910,VA,Virginia,-77.4339,37.5408,1,13
acctlic,1911,WV,West Virginia,-81.6354,38.3533,1,48
acctlic,1911,WY,Wyoming,-104.8165,41.1389,1,49
acctlic,1912,VT,Vermont,-72.5716,44.2627,1,45
acctlic,1913,DE,Delaware,-75.5136,39.1615,1,18
acctlic,1913,ME,Massachusetts,-69.7323,44.3294,1,20
acctlic,1913,NC,North Carolina,-78.6434,35.7797,1,9
acctlic,1913,ND,North Dakota,-100.7694,46.8084,1,27
acctlic,1913,NV,Nevada,-119.7519,39.1501,1,32
acctlic,1913,TN,Tennessee,-86.7821,36.1589,1,41
acctlic,1913,WI,Wisconsin,-89.4007,43.0632,1,47
acctlic,1915,AR,Arkansas,-92.2789,34.7244,1,44
acctlic,1915,IA,Iowa,-93.6203,41.5888,1,33
acctlic,1915,KS,Kansas,-95.6815,39.0474,1,15
acctlic,1915,OR,Oregon,-123.0272,44.937,1,3
acctlic,1915,SC,South Carolina,-81.0353,34.0007,1,39
acctlic,1915,TX,Texas,-97.7452,30.2687,1,42
acctlic,1916,KY,Kentucky,-84.8715,38.1894,1,16
acctlic,1917,ID,Idaho,-116.2125,43.6021,1,36
acctlic,1917,NH,New Hampshire ,-71.5597,43.2314,1,29
acctlic,1917,OK,Oklahoma,-97.4591,35.4931,1,35
acctlic,1917,SD,South Dakota,-100.3177,44.3776,1,40
acctlic,1919,AL,Alabama,-86.2996,32.3754,1,25
acctlic,1919,AZ,Arizona,-112.0738,33.4483,1,17
acctlic,1920,MS,Mississippi,-90.178,32.3122,1,24
acctlic,1921,NM,New Mexico,-105.9381,35.6816,1,31
acctlic,1929,IN,Indiana,-86.1563,39.767,1,46
acctlic,1951,FL,Florida,-84.2806,30.4382,1,12
adawork,1950,AZ,Arizona,-112.0738,33.4483,1,17
adawork,1950,IL,Illinois,-89.6533,39.8018,1,6
adawork,1950,NE,Nebraska,-97.548,41.1786,1,28
adawork,1953,AL,Alabama,-86.2996,32.3754,1,25
adawork,1953,AR,Arkansas,-92.2789,34.7244,1,44
adawork,1953,CA,California,-121.4871,38.5737,1,0
adawork,1953,GA,Georgia,-84.3897,33.7545,1,26
adawork,1953,MS,Mississippi,-90.178,32.3122,1,24
adawork,1953,RI,Rhode Island,-71.4087,41.827,1,38
adawork,1956,FL,Florida,-84.2806,30.4382,1,12
adawork,1956,MI,Michigan,-84.5466,42.7336,1,21
adawork,1956,NH,New Hampshire ,-71.5597,43.2314,1,29
adawork,1956,NM,New Mexico,-105.9381,35.6816,1,31
adawork,1956,SC,South Carolina,-81.0353,34.0007,1,39
adawork,1956,TN,Tennessee,-86.7821,36.1589,1,41
adawork,1956,TX,Texas,-97.7452,30.2687,1,42
adawork,1957,MO,Missouri,-92.1941,38.5698,1,23
adawork,1957,WV,West Virginia,-81.6354,38.3533,1,48
adawork,1962,NC,North Carolina,-78.6434,35.7797,1,9
adawork,1962,PA,Pennsylvania,-76.8849,40.274,1,37
adawork,1962,WA,Washington,-122.9016,47.0449,1,4
adawork,1964,KS,Kansas,-95.6815,39.0474,1,15
adawork,1964,MA,Maine,-71.0568,42.3589,1,10
adawork,1964,ND,North Dakota,-100.7694,46.8084,1,27
adawork,1964,NY,New York ,-73.7551,42.6517,1,2
adawork,1964,OK,Oklahoma,-97.4591,35.4931,1,35
adawork,1967,LA,Louisiana,-91.1882,30.4493,1,11
adawork,1967,VT,Vermont,-72.5716,44.2627,1,45
adc,1936,AL,Alabama,-86.2996,32.3754,1,25
adc,1936,AR,Arkansas,-92.2789,34.7244,1,44
adc,1936,AZ,Arizona,-112.0738,33.4483,1,17
adc,1936,CA,California,-121.4871,38.5737,1,0
adc,1936,CO,Colorado,-104.9881,39.7551,1,5
adc,1936,DE,Delaware,-75.5136,39.1615,1,18
adc,1936,ID,Idaho,-116.2125,43.6021,1,36
adc,1936,IN,Indiana,-86.1563,39.767,1,46
adc,1936,LA,Louisiana,-91.1882,30.4493,1,11
adc,1936,MA,Maine,-71.0568,42.3589,1,10
adc,1936,MD,Maryland,-76.5197,38.9693,1,19
adc,1936,ME,Massachusetts,-69.7323,44.3294,1,20
adc,1936,MI,Michigan,-84.5466,42.7336,1,21
adc,1936,NE,Nebraska,-97.548,41.1786,1,28
adc,1936,NH,New Hampshire ,-71.5597,43.2314,1,29
adc,1936,NJ,New Jersey,-74.7642,40.2202,1,7
adc,1936,NM,New Mexico,-105.9381,35.6816,1,31
adc,1936,OH,Ohio,-83.0007,39.9622,1,34
adc,1936,OK,Oklahoma,-97.4591,35.4931,1,35
adc,1936,PA,Pennsylvania,-76.8849,40.274,1,37
adc,1936,UT,Utah,-111.8882,40.7716,1,43
