"policy_id","adopted_year","state_id"
"prudentinvestoract",2006,"AL"
"prudentmanagementofinstitutionalfundsact",2008,"AL"
"pubbrefeed",2006,"AL"
"pubcamfun",1983,"AL"
"pubhouen",1935,"AL"
"rapeshield",1977,"AL"
"realest",1927,"AL"
"realpropertyelectronicrecordingact",2009,"AL"
"recipsup",1951,"AL"
"regulation_bicycle_helmet",1995,"AL"
"regulation_boehmke_grandvis",1984,"AL"
"regulation_boehmke_livingwil",1981,"AL"
"regulation_boehmke_shiel",1935,"AL"
"regulation_hate_crime",1994,"AL"
"regulation_mandatory_seatbelt",1991,"AL"
"regulation_motorcycle_helmet",1967,"AL"
"regulation_pain_suffering_limit",1987,"AL"
"regulation_rent_contro",1993,"AL"
"regulation_rfr",1998,"AL"
"regulation_sedition_law",1953,"AL"
"regulation_utility_jurisdictio",1915,"AL"
"regulations_lemonla",1990,"AL"
"regulations_state_debt_limitati",1867,"AL"
"repsodomy",2003,"AL"
"requireanyid2",2006,"AL"
"residentiallandlordandtenantact1972",2006,"AL"
"residentialmortgagesatisfactionact",2012,"AL"
"retailtheft",1975,"AL"
"retstate",1945,"AL"
"right2work",1943,"AL"
"roadshwy",1911,"AL"
"schoolchoi",1991,"AL"
"shield",1935,"AL"
"shoplift",1975,"AL"
"slains",1919,"AL"
"soil",1939,"AL"
"sonofsam",1979,"AL"
"sonsam",1979,"AL"
"southeasternforestfireprotectioncompact",1955,"AL"
"southeastinterstatelow_levelradioactivewastecompact",1988,"AL"
"southerndairycompact",1998,"AL"
"southerngrowthpoliciescompact",1975,"AL"
"southernregionaleducationcompact",1949,"AL"
"sprinsch",1854,"AL"
"st_wd_tran",1994,"AL"
"stalking",1992,"AL"
"standground",2006,"AL"
"stateptr",1939,"AL"
"statrapage",1977,"AL"
"statrape",1977,"AL"
"statutoryruleagainstperpetuities",2011,"AL"
"stplnb",1935,"AL"
"sundayban",1999,"AL"
"surpluslinesinsurancemulti_statecompliancecompact",2011,"AL"
"taxcom",1907,"AL"
"teacelm",1955,"AL"
"teacsec",1939,"AL"
"telgrareg",1848,"AL"
"terrorfund",2002,"AL"
"todsecurityregistrationact",1997,"AL"
"tradesecretsact",1988,"AL"
"transferstominorsact",1986,"AL"
"trap",2002,"AL"
"trap_lic",1975,"AL"
"trustcode",2006,"AL"
"u_record_sys",1998,"AL"
"uccarticle1generalprovisions2001",2004,"AL"
"uccarticle2aleases19871990",1993,"AL"
"uccarticle3negotiableinstruments1990",1995,"AL"
"uccarticle4aamendments2012",2013,"AL"
"uccarticle4afundstransfers1989",1993,"AL"
"uccarticle5lettersofcredit1995",1997,"AL"
"uccarticle6bulksales1989",1996,"AL"
"uccarticle7documentsoftitle2003",2004,"AL"
