policy_id,adopted_year,state,state_name,long,lat,adoption_case
anatomicalgift1968,1970,AL,Alabama,-86.2996,32.3754,1
anatomicalgiftact1987,2003,AL,Alabama,-86.2996,32.3754,1
anatomicalgiftact2006,2008,AL,Alabama,-86.2996,32.3754,1
anim_cruel_felonfirs,2000,AL,Alabama,-86.2996,32.3754,1
animcruel,2000,AL,Alabama,-86.2996,32.3754,1
antibully,2009,AL,Alabama,-86.2996,32.3754,1
antistalk,1992,AL,Alabama,-86.2996,32.3754,1
anyid2,2003,AL,Alabama,-86.2996,32.3754,1
anyphotoid2,2011,AL,Alabama,-86.2996,32.3754,1
appointmentofcommissioners,1951,AL,Alabama,-86.2996,32.3754,1
archlic,1931,AL,Alabama,-86.2996,32.3754,1
athleteagentsact,2001,AL,Alabama,-86.2996,32.3754,1
athleteagentsact2015,2016,AL,Alabama,-86.2996,32.3754,1
attendanceofoutofstatewitnesses,1977,AL,Alabama,-86.2996,32.3754,1
ausbalsys,1893,AL,Alabama,-86.2996,32.3754,1
autism,2012,AL,Alabama,-86.2996,32.3754,1
autoreg,1903,AL,Alabama,-86.2996,32.3754,1
bikehelmet,1995,AL,Alabama,-86.2996,32.3754,1
bldstds_yearadopted,2006,AL,Alabama,-86.2996,32.3754,1
blind,1937,AL,Alabama,-86.2996,32.3754,1
boh,1875,AL,Alabama,-86.2996,32.3754,1
bootcamp,1991,AL,Alabama,-86.2996,32.3754,1
breastdensity,2013,AL,Alabama,-86.2996,32.3754,1
breastfeed,2006,AL,Alabama,-86.2996,32.3754,1
broadcom,1996,AL,Alabama,-86.2996,32.3754,1
budgstd,1919,AL,Alabama,-86.2996,32.3754,1
buildingcode,1957,AL,Alabama,-86.2996,32.3754,1
candlim,2013,AL,Alabama,-86.2996,32.3754,1
cctheft,1977,AL,Alabama,-86.2996,32.3754,1
childabductionprevention,2010,AL,Alabama,-86.2996,32.3754,1
childabu,1965,AL,Alabama,-86.2996,32.3754,1
childabuse,1965,AL,Alabama,-86.2996,32.3754,1
