state	policy	created_at	lat	long	adoption_case
CA	fvmmyre-sbhagnva-inyyrl	3/27/15 22:46	34.084443	-118.385162	1
CA	sengryyb-evfgbenagr	3/30/15 22:54	34.084443	-118.385162	1
CA	gur-zbax-f-xrggyr	3/30/15 23:29	34.084443	-118.385162	1
CA	gur-ovt-erq-ohvyqvat	4/7/15 23:20	34.084443	-118.385162	1
CA	fnafbz-ovfgeb	4/11/15 2:38	34.084443	-118.385162	1
CA	zbagtbzrel-pbssrr	4/11/15 2:49	34.084443	-118.385162	1
NC	cerlre-oerjvat-pbzcnal	4/14/15 17:39	35.910736	-79.066605	1
CA	byq-cevaprgba-ynaqvat	4/14/15 21:12	34.084443	-118.385162	1
CA	qrne-zbz	4/14/15 22:27	34.084443	-118.385162	1
CA	juvfxrl-guvrirf	4/14/15 22:34	34.084443	-118.385162	1
CA	guvrirf-gnirea	4/14/15 22:39	34.084443	-118.385162	1
CA	fvzcyrguvatf-fnagn-zbavpn	4/16/15 19:49	34.084443	-118.385162	1
CA	naanoryyr-f-one-ovfgeb	4/20/15 20:49	34.084443	-118.385162	1
NC	tnzrxrrcre-erfgnhenag	4/24/15 20:02	35.910736	-79.066605	1
CA	gur-phcpnxr-fubccr-cbf	4/27/15 22:20	34.084443	-118.385162	1
NC	znkvr-o-f	4/28/15 17:05	35.910736	-79.066605	1
NC	crexl-f-pnsr	4/28/15 20:54	35.910736	-79.066605	1
NC	yn-creyn	4/28/15 21:40	35.910736	-79.066605	1
CA	cbxr-rgp	4/30/15 16:41	34.084443	-118.385162	1
WA	yrkv-f-cvmmn-cho	4/30/15 23:07	47.630808	-122.374517	1
NC	byq-gbja-choyvp-ubhfr	5/4/15 23:37	35.910736	-79.066605	1
WA	uryyorag-oerjvat-pb	5/13/15 22:45	47.630808	-122.374517	1
CA	hbgbzb-fhfuv	5/19/15 23:27	34.084443	-118.385162	1
CA	xvgpura-4140	5/20/15 16:02	34.084443	-118.385162	1
WA	pbccre-tynapr	5/20/15 22:20	47.630808	-122.374517	1
CA	gvpr-ubhfr-pnsr	5/28/15 20:33	34.084443	-118.385162	1
CA	jneubefr-jrfg-ubfcvgnyvgl	5/28/15 22:48	34.084443	-118.385162	1
CA	urael-f-jbeyq-snzbhf-uv-yvsr	5/28/15 22:52	34.084443	-118.385162	1
CA	gur-jubyr-ornfg-gur-unyy	5/28/15 23:12	34.084443	-118.385162	1
CA	shwv-fhfuv-obng-ohssrg	6/1/15 18:53	34.084443	-118.385162	1
WA	ubc-angvba-oerjvat-pbzcnal	6/3/15 16:27	47.630808	-122.374517	1
NC	gbc-fnvy-ovfgeb	6/4/15 17:51	35.910736	-79.066605	1
WA	unl-w-f-ovfgeb	6/24/15 18:30	47.630808	-122.374517	1
CA	ivyyntr-fnxr	6/27/15 0:03	34.084443	-118.385162	1
CA	purxb-ry-erl-qry-fnenaqrnqb	7/9/15 20:15	34.084443	-118.385162	1
